3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
59,Q2 2024/25,2024/07/26,National Prosecuting Authority of South Africa (NPA),Rollout of laptops,Fullstream Business Services (Pty) Ltd,Deploymentp aroncdu creomnfeignut aorfa ltaiopnto npost. included in,"R5 606 424,00","R71 968 594,77","R14 404 121,25",2024/11/07,2024/07/12,2025/07/11,Reported,
60,Q2 2024/25,2024/07/25,Property Practitioners Regulatory Authority,Appointment of a servimcea ipnrtoevniadnecr efor vehicle service and,Thato Truck Clinic,reD qsu uer iri rwn veiga cm s ea e dsnn so ate st se s wds ae m t rrh ee ea sn tnut solo tot f t m hqth euee o ed tv exe pe dfh ae wci nct shl ew iiocshhn di cawuhrr ae ian s rr g ene eq ss ce ua er irfv seei sc dty ai n trog y .bIt e,"R8 074,44","R35 803,33","R0,00",22/07/2024,Once off,Once off,Reported,
61,Q2 2024/25,2024/07/25,South African Fore(SstAryF CCOomL)pany SOC Limited,Tenant Installation Allowance variaition for the new KZN office,Regal Property Trust,Tenant Installation Allowaonfcfiec evariaition for the new KZN,"R17 073 553,07","R1 810 739,11","R0,00",15/07/2024,Once off,Once off,Reported,
62,Q2 2024/25,2024/07/14,National Housing Finance Corporation SOC Ltd (NHFC),Migration of CTCHC ACCPEAvCo lfuinticoannce system to NHFC SAGE,Brilliant Link,Extension of contract,"R124 200,00","R322 920,00","R484 380,00",16/04/2024,2024/04/25,2024/04/30,Reported,
63,Q2 2024/25,2024/07/14,National Housing Finance Corporation SOC Ltd (NHFC),Pporolicvyid feo ra ftineachnnciiacal iln osptrinuimone notns tt 1oh ee naspuprreo vceodm epxliiasntinceg wimitpha GirmReAnPt,KPMG,Variation of contract,"R69 000,00","R662 386,00","R0,00",15/05/2024,2024/04/22,2024/05/21,Reported,
64,Q2 2024/25,2024/08/01,Armaments Corpo(rAaRtioMnS oCf OSRou)th Africa SOC Ltd,Provision of financial accounting services,MMB Consulting Incorporation,inocfa liuA ums dr pim io tr.ons Tc vio en hr m et hi es se nei n tA rsv nt ih hcne aeu v ap pelr r o oRbc veee iedps neos rr i to dc ff eoo f nnri n tfMiia frimealis dr eci n dfhrg o t2 hmt0h a 2e tt h4 tA he. eF a2 S s0n a2fuo m3mr /e b2 e4r,"R342 000,00","R650 000,00","R0,00",2024/04/19,2024/04/22,2024/09/30,Reported,
65,Q2 2024/25,2024/07/24,South African Fore(SstAryF CCOomL)pany SOC Limited,Continuity of a legal matter,Lawtons Africa Attorneys Inc,Expansion of contract,"R2 000 000,00","R500 000,00","R0,00",2024/07/23,Once off,Once off,Reported,
66,Q2 2024/25,2024/08/02,National Regulator fo(rN CRoCmSp)ulsory Specifications,Lease agreement,PE Hotels (Pty) Ltd,Cancelled,"R4 555 554,96","R10 292 666,63","R14 848 221,59",2019/11/18,2024/08/01,2026/07/31,Reported,
67,Q2 2024/25,2024/08/08,National Lotteries Commission (NLC),Minute Taking,Cosec Asssit,Variarion due to outstanding matters,Not stated,Not stated,"R0,00",Not stated,Not stated,Not stated,Reported,
68,Q2 2024/25,2024/08/08,National Lotteries Commission (NLC),Provision of off-site storage,Metrofile,SCM process for tender unfolding,"R250,000","R300 000,00","R0,00",Not stated,Not stated,Not stated,Reported,
